Sequence Feature > Primary DBID	Sequence Feature > Secondary Identifier	Sequence Feature > Standard Name	Sequence Feature > Sgd Alias	Sequence Feature > Description	Sequence Feature > Feature Type
S000001915	YFR019W	FAB1	1-phosphatidylinositol-3-phosphate 5-kinase SVL7	1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis	ORF
S000006484	RDN25-1	RDN25-1	26S rRNA RDN25	25S ribosomal RNA (25S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; formed by endonucleolytic cleavage at the C2 site of internal transcribed spacer 2 (ITS2)	rRNA_gene
S000006485	RDN25-2	RDN25-2	26S rRNA RDN25	25S ribosomal RNA (25S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; formed by endonucleolytic cleavage at the C2 site of internal transcribed spacer 2 (ITS2)	rRNA_gene
S000001105	YHR063C	PAN5	2-dehydropantoate 2-reductase PAN5	2-dehydropantoate 2-reductase; part of the pantothenic acid pathway, structurally homologous to E. coli panE	ORF
S000001086	YHR044C	DOG1	2-deoxyglucose-6-phosphatase	2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases; confers 2-deoxyglucose resistance when overexpressed; DOG1 has a paralog, DOG2, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae	ORF
S000001085	YHR043C	DOG2	2-deoxyglucose-6-phosphatase	2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed; DOG2 has a paralog, DOG1, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae	ORF
S000000230	YBR026C	ETR1	MRF1' MRF1	2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant	ORF
S000004578	YML110C	COQ5	DBI56 2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; respiratory defect of the null mutant is partially complemented by human COQ5	ORF
S000000797	YEL071W	DLD3	D-lactate dehydrogenase	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm	ORF
S000006210	YPR006C	ICL2	methylisocitrate lyase ICL2	2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol	ORF
S000005485	YOL125W	TRM13	tRNA:m4X modification enzyme	2'-O-methyltransferase; responsible for modification of tRNA at position 4; C-terminal domain has similarity to Rossmann-fold (RFM) superfamily of RNA methyltransferases	ORF
S000002270	YDL112W	TRM3	tRNA (guanosine(18)-2'-O)-methyltransferase	2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs	ORF
S000000265	YBR061C	TRM7	tRNA methyltransferase TRM7	2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID)	ORF
S000002895	YDR487C	RIB3	3,4-dihydroxy-2-butanone-4-phosphate synthase RIB3	3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration	ORF
S000001441	YIR002C	MPH1	3'-5' DNA helicase	3'-5' DNA helicase involved in error-free bypass of DNA lesions; binds flap DNA in error-free bypass pathway, stimulates activity of Rad27p and Dna2p; prevents crossovers between ectopic sequences by removing substrates for Mus81-Mms4 or Rad1-Rad10 cleavage; similar to FANCM human Fanconi anemia complementation group protein that with MHF complex is involved in stabilizing and remodeling blocked replication forks; member of SF2 DExD/H superfamily of helicases	ORF
S000002699	YDR291W	HRQ1	ATP-dependent 3'-5' DNA helicase	3'-5' DNA helicase that has DNA strand annealing activity; helicase activity is stimulated by fork structure and 3'-tail length of substrates; acts with Rad4p in nucleotide-excision repair; belongs to the widely conserved RecQ family of proteins which are involved in maintaining genomic integrity; similar to the human RecQ4p implicated in Rothmund-Thomson syndrome (RTS)	ORF
S000000151	YBL055C	""	3'-5'-exodeoxyribonuclease Tat-D	3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases	ORF
S000004587	YML118W	NGL3	3'-5' poly(A) RNA exonuclease	3'-5' exonuclease specific for poly-A RNAs; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; similar to Ngl1p; NGL3 has a paralog, NGL2, that arose from the whole genome duplication	ORF
S000004900	YMR287C	DSS1	MSU1	3'-5' exoribonuclease; component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs	ORF
S000003508	YGR276C	RNH70	REX1 RNA82	3'-5' exoribonuclease; required for maturation of 3' ends of 5S rRNA and tRNA-Arg3 from dicistronic transcripts	ORF
S000004049	YLR059C	REX2	YNT20	3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease	ORF
S000006486	RDN37-1	RDN37-1	RDN37	35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci)	rRNA_gene
S000006487	RDN37-2	RDN37-2	RDN37	35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci)	rRNA_gene
S000002442	YDR035W	ARO3	3-deoxy-7-phosphoheptulonate synthase ARO3	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan	ORF
S000000453	YBR249C	ARO4	3-deoxy-7-phosphoheptulonate synthase ARO4	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress	ORF
S000004595	YML126C	ERG13	HMGS hydroxymethylglutaryl-CoA synthase	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase; catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis	ORF
S000001717	YKR009C	FOX2	POX2 bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4	ORF
S000003786	YJR025C	BNA1	3-hydroxyanthranilate 3,4-dioxygenase HAD1	3-hydroxyanthranilic acid dioxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p	ORF
S000001701	YKL218C	SRY1	threo-3-hydroxy-L-aspartate ammonia-lyase SRY1	3-hydroxyaspartate dehydratase; deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required in the presence of hydroxyaspartate; highly similar to mouse serine racemase (Srr) but has no serine racemase activity	ORF
S000002443	YDR036C	EHD3	MRP5	3-hydroxyisobutyryl-CoA hydrolase; member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis	ORF
S000001422	YIL160C	POT1	acetyl-CoA C-acyltransferase FOX3 POX3	3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids	ORF
S000000469	YBR265W	TSC10	3-dehydrosphinganine reductase	3-ketosphinganine reductase; catalyzes the second step in phytosphingosine synthesis; essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine; localized to lipid droplets; member of short chain dehydrogenase/reductase protein family	ORF
S000004090	YLR100W	ERG27	3-keto-steroid reductase	3-keto sterol reductase; catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs; mutation is functionally complemented by human HSD17B7	ORF
S000000944	YER142C	MAG1	MMS5	3-methyl-adenine DNA glycosylase; involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired; protein abundance increases in response to DNA replication stress	ORF
S000005511	YOL151W	GRE2	methylglyoxal reductase (NADPH-dependent) GRE2	3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; restores resistance to glycolaldehyde by coupling reduction of glycolaldehyde to ethylene glycol and oxidation of NADPH to NADP+; protein abundance increases in response to DNA replication stress; methylglyoxal reductase (NADPH-dependent) is also known as D-lactaldehyde dehydrogenase	ORF
S000006371	YPR167C	MET16	phosphoadenylyl-sulfate reductase (thioredoxin)	3'-phosphoadenylsulfate reductase; reduces 3'-phosphoadenylyl sulfate to adenosine-3',5'-bisphosphate and free sulfite using reduced thioredoxin as cosubstrate, involved in sulfate assimilation and methionine metabolism	ORF
S000001336	YIL074C	SER33	phosphoglycerate dehydrogenase SER33	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER33 has a paralog, SER3, that arose from the whole genome duplication	ORF
S000000883	YER081W	SER3	phosphoglycerate dehydrogenase SER3	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication	ORF
S000000605	YCR012W	PGK1	phosphoglycerate kinase	3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis	ORF
S000005710	YOR184W	SER1	ADE9 O-phospho-L-serine:2-oxoglutarate transaminase	3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p; protein abundance increases in response to DNA replication stress	ORF
S000000985	YER183C	FAU1	5-formyltetrahydrofolate cyclo-ligase	5,10-methenyltetrahydrofolate synthetase; involved in folic acid biosynthesis	ORF
S000005559	YOR033C	EXO1	Rad2 family nuclease EXO1 DHS1	5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication	ORF
S000006489	RDN58-2	RDN58-2	RDN58	5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1)	rRNA_gene
S000006488	RDN58-1	RDN58-1	RDN58	5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; 3' end formation involves processing by the exosome complex while 5' end is generated by Kem1p and Rat1p	rRNA_gene
S000002640	YDR232W	HEM1	OLE3 5-aminolevulinate synthase CYD1	5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p	ORF
S000000025	YAL027W	SAW1	DNA-binding protein SAW1	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	ORF
S000006322	YPR118W	MRI1	S-methyl-5-thioribose-1-phosphate isomerase MRI1	5'-methylthioribose-1-phosphate isomerase; catalyzes the isomerization of 5-methylthioribose-1-phosphate to 5-methylthioribulose-1-phosphate in the methionine salvage pathway	ORF
S000003785	YJR024C	MDE1	methylthioribulose 1-phosphate dehydratase MDE1	5'-methylthioribulose-1-phosphate dehydratase; acts in the methionine salvage pathway; potential Smt3p sumoylation substrate; expression downregulated by caspofungin and deletion mutant is caspofungin resistant	ORF
S000001698	YKL215C	OXP1	5-oxoprolinase	5-oxoprolinase; enzyme is ATP-dependent and functions as a dimer; similar to mouse Oplah gene; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress	ORF
S000001003	YHL011C	PRS3	ribose phosphate diphosphokinase subunit PRS3	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes	ORF
S000005422	YOL061W	PRS5	ribose phosphate diphosphokinase subunit PRS5	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress	ORF
S000000901	YER099C	PRS2	ribose phosphate diphosphokinase subunit PRS2	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP; which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS2 has a paralog, PRS4, that arose from the whole genome duplication	ORF
S000000164	YBL068W	PRS4	ribose phosphate diphosphokinase subunit PRS4	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP; which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS4 has a paralog, PRS2, that arose from the whole genome duplication; a missense mutation in the conserved residue R196 of its human homolog PRPS1 is pathogenic	ORF
S000001664	YKL181W	PRS1	PRP1 ribose phosphate diphosphokinase subunit PRS1	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease	ORF
S000006479	RDN5-1	RDN5-1	MOF9 RDN5	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; may play a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE	rRNA_gene
S000000973	YER171W	RAD3	REM1 TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3	5' to 3' DNA helicase; involved in nucleotide excision repair and transcription; subunit of RNA polII initiation factor TFIIH and of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress	ORF
S000001596	YKL113C	RAD27	FEN1 ERC11 RTH1 multifunctional nuclease RAD27	5' to 3' exonuclease, 5' flap endonuclease; required for Okazaki fragment processing and maturation, for long-patch base-excision repair and large loop repair (LLR), ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia	ORF
S000005496	YOL136C	PFK27	6-phosphofructo-2-kinase PFK-2	6-phosphofructo-2-kinase; catalyzes synthesis of fructose-2,6-bisphosphate; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, expression induced by glucose and sucrose, transcriptional regulation involves protein kinase A	ORF
S000001369	YIL107C	PFK26	PFK2 PFK-2	6-phosphofructo-2-kinase; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate; has negligible fructose-2,6-bisphosphatase activity; transcriptional regulation involves protein kinase A	ORF
S000001226	YHR183W	GND1	phosphogluconate dehydrogenase (decarboxylating) GND1	6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication	ORF
S000003488	YGR256W	GND2	phosphogluconate dehydrogenase (decarboxylating) GND2	6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone; GND2 has a paralog, GND1, that arose from the whole genome duplication	ORF
S000001206	YHR163W	SOL3	6-phosphogluconolactonase SOL3	6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p; SOL3 has a paralog, SOL4, that arose from the whole genome duplication	ORF
S000003480	YGR248W	SOL4	6-phosphogluconolactonase SOL4	6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication	ORF
S000005306	YNR023W	SNF12	SWP73	73 kDa subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; relocates to the cytosol under hypoxic conditions; deletion mutants are temperature-sensitive; SNF12 has a paralog, RSC6, that arose from the whole genome duplication	ORF
S000005341	YNR058W	BIO3	adenosylmethionine-8-amino-7-oxononanoate transaminase	7,8-diamino-pelargonic acid aminotransferase (DAPA); catalyzes the second step in the biotin biosynthesis pathway; BIO3 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis; BIO3 and BIO4 were acquired by horizontal gene transfer (HGT) from bacteria	ORF
S000003903	YJR142W	""	""	8-oxo-dGTP diphosphatase of the Nudix hydrolase family; converts diphosphates of damaged forms of thiamin to monophosphates; GST fusion protein is a Dbf2p-Mob1p phosphorylation target in a proteome chip analysis; synthetic lethal with PH085 deletion; plays a role in restricting Ty1 transposition	ORF
S000004141	YLR151C	PCD1	8-oxo-dGTP diphosphatase	8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1	ORF
S000000284	YBR080C	SEC18	ANU4 AAA family ATPase SEC18	AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)	ORF
S000006377	YPR173C	VPS4	CSC1 END13 GRD13 VPL4 VPT10 AAA family ATPase VPS4 DID6	AAA-ATPase involved in multivesicular body (MVB) protein sorting; ATP-bound Vps4p localizes to endosomes and catalyzes ESCRT-III disassembly and membrane release; ATPase activity is activated by Vta1p; regulates cellular sterol metabolism	ORF
S000002284	YDL126C	CDC48	AAA family ATPase CDC48	AAA ATPase; subunit of polyubiquitin-selective segregase complex involved in ERAD, cell wall integrity during heat stress, mitotic spindle disassembly; role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing in macroautophagy, PMN, RAD, ribophagy, homotypic ER membrane fusion, disassembly of Met30p from SCF complex, telomerase regulation via Est1p degradation; human ortholog VCP can complement yeast cdc48 mutant	ORF
S000005273	YNL329C	PEX6	AAA family ATPase peroxin 6 PAS8	AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death	ORF
S000001680	YKL197C	PEX1	AAA family ATPase peroxin 1 PAS1	AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis; mutations in human PEX1 can lead to severe peroxisomal disorders and early death	ORF
S000003938	YLL015W	BPT1	ATP-binding cassette bilirubin transporter BPT1	ABC type transmembrane transporter of MRP/CFTR family; found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p	ORF
S000001401	YIL139C	REV7	""	Accessory subunit of DNA polymerase zeta; involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair; forms a complex with Rev3p, Pol31p and Pol32p	ORF
S000000603	YCR010C	ADY2	ATO1	Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication	ORF
S000004347	YLR355C	ILV5	ketol-acid reductoisomerase	Acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids	ORF
S000004714	YMR108W	ILV2	SMR1 THI1 acetolactate synthase catalytic subunit	Acetolactate synthase; catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control	ORF
S000002925	YDR517W	GRH1	""	Acetylated cis-Golgi protein, involved in ER to Golgi transport; homolog of human GRASP65; forms a complex with the coiled-coil protein Bug1p; mutants are compromised for the fusion of ER-derived vesicles with Golgi membranes; protein abundance increases in response to DNA replication stress	ORF
S000005949	YPL028W	ERG10	LPB3 TSM0115 acetyl-CoA C-acetyltransferase	Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase); cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis; human ACAT1 functionally complements the growth defect caused by repression of ERG10 expression	ORF
S000005299	YNR016C	ACC1	MTR7 acetyl-CoA carboxylase ACC1 ABP2 FAS3	Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication	ORF
S000004143	YLR153C	ACS2	acetate--CoA ligase ACS2	Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions	ORF
S000000050	YAL054C	ACS1	FUN44 acetate--CoA ligase 1	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	ORF
S000000871	YER069W	ARG5,6	argB argC bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine	ORF
S000003607	YJL071W	ARG2	HRB574 acetyl-CoA:L-glutamate N-acetyltransferase	Acetylglutamate synthase (glutamate N-acetyltransferase); mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p	ORF
S000005500	YOL140W	ARG8	acetylornithine transaminase	Acetylornithine aminotransferase; catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine	ORF
