Gene > Secondary Identifier	Gene > Symbol	Gene > DB identifier	Gene > Organism Name	Gene > Cytological Location	Gene > Name	Gene > Description
CG10131	CG10131	FBgn0033949	Drosophila melanogaster	51B6-51B6	""	""
CG10132	CG10132	FBgn0032798	Drosophila melanogaster	37E5-37E5	""	""
CG10133	CG10133	FBgn0036366	Drosophila melanogaster	70B1-70B1	""	""
CG10134	beat-Va	FBgn0038087	Drosophila melanogaster	87D2-87D2	beat-Va	""
CG10137	CG10137	FBgn0032800	Drosophila melanogaster	37E5-37F1	""	""
CG10138	PpD5	FBgn0005778	Drosophila melanogaster	58B1-58B1	Protein phosphatase D5	""
CG10139	CG10139	FBgn0033951	Drosophila melanogaster	51B7-51B7	""	""
CG1014	robl62A	FBgn0028567	Drosophila melanogaster	62A2-62A2	robl62A	""
CG10140	CG10140	FBgn0036363	Drosophila melanogaster	70B1-70B1	""	""
CG10142	Ance-5	FBgn0035076	Drosophila melanogaster	60E5-60E5	Ance-5	""
CG10143	Adgf-E	FBgn0033952	Drosophila melanogaster	51B7-51B8	Adenosine deaminase-related growth factor E	""
CG10144	Vps8	FBgn0035704	Drosophila melanogaster	65B3-65B3	Vacuolar protein sorting 8	""
CG10145	mspo	FBgn0020269	Drosophila melanogaster	51B9-51C1	M-spondin	""
CG10146	AttA	FBgn0012042	Drosophila melanogaster	51C1-51C1	Attacin-A	""
CG10147	CG10147	FBgn0035702	Drosophila melanogaster	65B3-65B3	""	""
CG10149	Rpn6	FBgn0028689	Drosophila melanogaster	51C1-51C2	Regulatory particle non-ATPase 6	""
CG10151	CG10151	FBgn0033960	Drosophila melanogaster	51C2-51C2	""	""
CG10152	beat-IV	FBgn0039089	Drosophila melanogaster	95A2-95A2	beat-IV	""
CG10153	Trs31	FBgn0266723	Drosophila melanogaster	51C2-51C2	TRAPP subunit 31 ortholog (S. cerevisiae)	""
CG10154	CG10154	FBgn0036361	Drosophila melanogaster	70B1-70B1	""	""
CG10155	Spred	FBgn0020767	Drosophila melanogaster	51C2-51C2	Sprouty-related protein with EVH-1 domain	""
CG10157	GILT2	FBgn0039099	Drosophila melanogaster	95A7-95A7	Gamma-interferon-inducible lysosomal thiol reductase 2	""
CG10158	Fgop2	FBgn0031871	Drosophila melanogaster	27C6-27C6	Fibroblast growth factor receptor 1 oncogene partner 2	""
CG10159	BEAF-32	FBgn0015602	Drosophila melanogaster	51C2-51C2	Boundary element-associated factor of 32kD	""
CG10160	ImpL3	FBgn0001258	Drosophila melanogaster	65A11-65A11	Ecdysone-inducible gene L3	""
CG10161	eIF-3p66	FBgn0040227	Drosophila melanogaster	95A7-95A7	Eukaryotic initiation factor 3 p66 subunit	""
CG10163	CG10163	FBgn0035697	Drosophila melanogaster	65A10-65A11	""	""
CG10164	CG10164	FBgn0039088	Drosophila melanogaster	95A2-95A2	""	""
CG10165	CG10165	FBgn0032801	Drosophila melanogaster	37E5-37E5	""	""
CG10166	CG10166	FBgn0032799	Drosophila melanogaster	37E5-37E5	""	""
CG10168	CG10168	FBgn0039087	Drosophila melanogaster	95A1-95A1	""	""
CG1017	Mfap1	FBgn0035294	Drosophila melanogaster	62B11-62B11	Microfibril-associated protein 1	""
CG10170	CG10170	FBgn0039085	Drosophila melanogaster	95A1-95A1	""	""
CG10171	CG10171	FBgn0036353	Drosophila melanogaster	70A7-70A8	""	""
CG10173	Best2	FBgn0035696	Drosophila melanogaster	65A10-65A10	Bestrophin 2	""
CG10174	Ntf-2r	FBgn0032680	Drosophila melanogaster	36F5-36F5	Nuclear transport factor-2-related	""
CG10175	CG10175	FBgn0039084	Drosophila melanogaster	95A1-95A1	""	""
CG10176	grnd	FBgn0032682	Drosophila melanogaster	36F5-36F5	grindelwald	""
CG10177	CG10177	FBgn0039083	Drosophila melanogaster	95A1-95A1	""	""
CG10178	CG10178	FBgn0032684	Drosophila melanogaster	36F6-36F6	""	""
CG10181	Mdr65	FBgn0004513	Drosophila melanogaster	65A10-65A10	Multi drug resistance 65	""
CG10182	CG10182	FBgn0039091	Drosophila melanogaster	95A2-95A3	""	""
CG10183	CG10183	FBgn0039093	Drosophila melanogaster	95A3-95A3	""	""
CG10184	CG10184	FBgn0039094	Drosophila melanogaster	95A4-95A4	""	""
CG10185	CG10185	FBgn0038397	Drosophila melanogaster	89B2-89B2	""	""
CG10186	Hasp	FBgn0032797	Drosophila melanogaster	37E5-37E5	Hig-anchoring scaffold protein	""
CG10188	CG10188	FBgn0032796	Drosophila melanogaster	37E4-37E5	""	""
CG10189	CG10189	FBgn0032793	Drosophila melanogaster	37E4-37E4	""	""
CG1019	Mlp84B	FBgn0014863	Drosophila melanogaster	84C1-84C1	Muscle LIM protein at 84B	""
CG10191	Poc1	FBgn0036354	Drosophila melanogaster	70A8-70A8	Proteome of centrioles 1	""
CG10192	eIF4G2	FBgn0260634	Drosophila melanogaster	95B9-95C1	eukaryotic translation initiation factor 4G2	""
CG10194	CG10194	FBgn0032790	Drosophila melanogaster	37E4-37E4	""	""
CG10195	CG10195	FBgn0032787	Drosophila melanogaster	37E3-37E3	""	""
CG10197	kn	FBgn0001319	Drosophila melanogaster	51C2-51C3	knot	""
CG10198	Nup98-96	FBgn0039120	Drosophila melanogaster	95B1-95B5	Nucleoporin 98-96kD	""
CG10200	hui	FBgn0033968	Drosophila melanogaster	51C3-51C4	hase und igel	""
CG10202	CG10202	FBgn0033969	Drosophila melanogaster	51C4-51C4	""	""
CG10203	x16	FBgn0028554	Drosophila melanogaster	27C4-27C4	""	""
CG10205	CG10205	FBgn0033970	Drosophila melanogaster	51C4-51C4	""	""
CG10206	nop5	FBgn0026196	Drosophila melanogaster	27C4-27C4	nop5	""
CG10207	NaPi-T	FBgn0016684	Drosophila melanogaster	51C5-51C5	Na[+]-dependent inorganic phosphate cotransporter	""
CG10208	CG10208	FBgn0039118	Drosophila melanogaster	95B1-95B1	""	""
CG10209	CG10209	FBgn0033971	Drosophila melanogaster	51C5-51C5	""	""
CG1021	Dmtn	FBgn0037443	Drosophila melanogaster	83E5-83E6	Dementin	""
CG10210	tst	FBgn0039117	Drosophila melanogaster	95B1-95B1	twister	""
CG10211	CG10211	FBgn0032685	Drosophila melanogaster	36F6-36F6	""	""
CG10212	SMC2	FBgn0027783	Drosophila melanogaster	51C5-51C5	Structural maintenance of chromosomes 2	""
CG10214	CG10214	FBgn0039115	Drosophila melanogaster	95B1-95B1	""	""
CG10215	Ercc1	FBgn0028434	Drosophila melanogaster	51C5-51C5	Ercc1	""
CG10217	CG10217	FBgn0039113	Drosophila melanogaster	95B1-95B1	""	""
CG10219	SdhD	FBgn0039112	Drosophila melanogaster	95B1-95B1	Succinate dehydrogenase, subunit D	""
CG10221	Hrd3	FBgn0028475	Drosophila melanogaster	95B1-95B1	""	""
CG10222	CG10222	FBgn0036356	Drosophila melanogaster	70A8-70A8	""	""
CG10223	Top2	FBgn0003732	Drosophila melanogaster	37E1-37E1	Topoisomerase 2	""
CG10225	RanBP3	FBgn0039110	Drosophila melanogaster	95B1-95B1	Ran binding protein 3	""
CG10226	CG10226	FBgn0035695	Drosophila melanogaster	65A10-65A10	""	""
CG10228	Pcf11	FBgn0264962	Drosophila melanogaster	51C5-51C7	Protein 1 of cleavage and polyadenylation factor 1	""
CG10229	Kat60	FBgn0040208	Drosophila melanogaster	82F6-82F6	Katanin 60	""
CG10230	Rpn9	FBgn0028691	Drosophila melanogaster	95B1-95B1	Regulatory particle non-ATPase 9	""
CG10232	CG10232	FBgn0039108	Drosophila melanogaster	95B1-95B1	""	""
CG10233	rtp	FBgn0087005	Drosophila melanogaster	82F6-82F6	retinophilin	""
CG10234	Hs2st	FBgn0024230	Drosophila melanogaster	37E1-37E1	Heparan sulfate 2-O-sulfotransferase	""
CG10236	LanA	FBgn0002526	Drosophila melanogaster	65A8-65A9	Laminin A	""
CG10237	CG10237	FBgn0032783	Drosophila melanogaster	37E1-37E1	""	""
CG10238	Mocs2	FBgn0039280	Drosophila melanogaster	96C1-96C1	Molybdenum cofactor synthesis 2	""
CG1024	CG1024	FBgn0027514	Drosophila melanogaster	83E5-83E5	""	""
CG10240	Cyp6a22	FBgn0013773	Drosophila melanogaster	51C7-51D1	Cyp6a22	""
CG10241	Cyp6a17	FBgn0015714	Drosophila melanogaster	51D1-51D1	Cytochrome P450-6a17	""
CG10242	Cyp6a23	FBgn0033978	Drosophila melanogaster	51D1-51D1	Cyp6a23	""
CG10243	Cyp6a19	FBgn0033979	Drosophila melanogaster	51D1-51D1	Cyp6a19	""
CG10244	Cad96Ca	FBgn0022800	Drosophila melanogaster	96C4-96C5	Cadherin 96Ca	""
CG10245	Cyp6a20	FBgn0033980	Drosophila melanogaster	51D1-51D1	Cyp6a20	""
CG10246	Cyp6a9	FBgn0013771	Drosophila melanogaster	51D1-51D1	Cytochrome P450-6a9	""
CG10247	Cyp6a21	FBgn0033981	Drosophila melanogaster	51D1-51D1	Cyp6a21	""
CG10248	Cyp6a8	FBgn0013772	Drosophila melanogaster	51D1-51D1	Cytochrome P450-6a8	""
CG10249	Kank	FBgn0027596	Drosophila melanogaster	51D2-51D2	Kank	""
CG10250	nau	FBgn0002922	Drosophila melanogaster	95A10-95B1	nautilus	""
CG10251	prt	FBgn0043005	Drosophila melanogaster	95A8-95A8	portabella	""
CG10252	CG10252	FBgn0039104	Drosophila melanogaster	95A7-95A7	""	""
CG10253	ADPS	FBgn0033983	Drosophila melanogaster	51D3-51D3	Alkyldihydroxyacetonephosphate synthase	""
CG10254	CG10254	FBgn0027512	Drosophila melanogaster	95A7-95A7	""	""
CG10255	Lap1	FBgn0033984	Drosophila melanogaster	51D4-51D4	Lap1	""
CG10257	CG10257	FBgn0033985	Drosophila melanogaster	51D5-51D5	""	""
CG10260	PI4KIIIalpha	FBgn0267350	Drosophila melanogaster	3A8-3A8	Phosphatidylinositol 4-kinase III alpha	""
CG10262	CG10262	FBgn0032813	Drosophila melanogaster	37F2-37F2	""	""
CG10263	Hakai	FBgn0032812	Drosophila melanogaster	37F2-37F2	Hakai	""
CG10264	CG10264	FBgn0038394	Drosophila melanogaster	89B1-89B1	""	""
CG10265	CG10265	FBgn0033990	Drosophila melanogaster	51D7-51D7	""	""
CG10267	Zif	FBgn0037446	Drosophila melanogaster	83E8-83E8	Zinc-finger protein	""
CG10268	CG10268	FBgn0032811	Drosophila melanogaster	37F2-37F2	""	""
CG10269	D19A	FBgn0022935	Drosophila melanogaster	65A7-65A7	D19A	""
CG10270	D19B	FBgn0022699	Drosophila melanogaster	65A7-65A7	D19B	""
CG10274	CG10274	FBgn0035690	Drosophila melanogaster	65A7-65A7	""	""
CG10275	kon	FBgn0032683	Drosophila melanogaster	36F5-36F5	kon-tiki	""
CG10277	godzilla	FBgn0037442	Drosophila melanogaster	83E5-83E5	godzilla E3 ubiquitin protein ligase	""
CG10278	GATAe	FBgn0038391	Drosophila melanogaster	89A12-89A12	GATAe	""
CG10279	Rm62	FBgn0003261	Drosophila melanogaster	83D1-83D2	Rm62	""
CG1028	Antp	FBgn0260642	Drosophila melanogaster	84A6-84B2	Antennapedia	""
CG10280	CG10280	FBgn0037395	Drosophila melanogaster	83D2-83D2	""	""
CG10281	TfIIFalpha	FBgn0010282	Drosophila melanogaster	83E5-83E5	Transcription factor IIFalpha	""
CG10283	CG10283	FBgn0032681	Drosophila melanogaster	36F5-36F5	""	""
CG10286	CG10286	FBgn0037439	Drosophila melanogaster	83E4-83E4	""	""
CG10287	Gasp	FBgn0026077	Drosophila melanogaster	83D4-83D4	Gasp	""
CG10289	CG10289	FBgn0035688	Drosophila melanogaster	65A7-65A7	""	""
CG10293	how	FBgn0264491	Drosophila melanogaster	94A1-94A1	held out wings	""
CG10295	Pak	FBgn0267698	Drosophila melanogaster	83E4-83E4	p21-activated kinase	""
CG10296	Hr83	FBgn0037436	Drosophila melanogaster	83E4-83E4	Hormone receptor 83	""
CG10297	Acp65Aa	FBgn0020765	Drosophila melanogaster	65A6-65A6	Adult cuticle protein 65Aa	""
CG10298	CG10298	FBgn0037432	Drosophila melanogaster	83E4-83E4	""	""
CG1030	Scr	FBgn0003339	Drosophila melanogaster	84A5-84A5	Sex combs reduced	""
CG10300	CG10300	FBgn0039107	Drosophila melanogaster	95A10-95A10	""	""
CG10301	CG10301	FBgn0039106	Drosophila melanogaster	95A10-95A10	""	""
CG10302	bsf	FBgn0032679	Drosophila melanogaster	36F5-36F5	bicoid stability factor	""
CG10303	Osi4	FBgn0037412	Drosophila melanogaster	83E1-83E1	Osiris 4	""
CG10305	RpS26	FBgn0261597	Drosophila melanogaster	36F4-36F4	Ribosomal protein S26	""
CG10306	CG10306	FBgn0034654	Drosophila melanogaster	57F8-57F8	""	""
CG10307	CG10307	FBgn0034655	Drosophila melanogaster	57F8-57F8	""	""
CG10308	CycJ	FBgn0010317	Drosophila melanogaster	63E1-63E1	Cyclin J	""
CG10309	pad	FBgn0038418	Drosophila melanogaster	89B13-89B13	poils au dos	""
CG1031	alpha-Est1	FBgn0015568	Drosophila melanogaster	84D9-84D9	alpha-Esterase-1	""
CG10311	CG10311	FBgn0038420	Drosophila melanogaster	89B13-89B13	""	""
CG10315	eIF2B-delta	FBgn0034858	Drosophila melanogaster	59D9-59D10	eIF2B-delta	""
CG10317	CG10317	FBgn0038423	Drosophila melanogaster	89B13-89B14	""	""
CG10318	NC2alpha	FBgn0034650	Drosophila melanogaster	57F7-57F7	Negative Cofactor 2alpha	""
CG10320	ND-B12	FBgn0034645	Drosophila melanogaster	57F6-57F6	NADH dehydrogenase (ubiquinone) B12 subunit	""
CG10321	CG10321	FBgn0034643	Drosophila melanogaster	57F5-57F5	""	""
CG10324	CG10324	FBgn0038454	Drosophila melanogaster	89D6-89D6	""	""
CG10325	abd-A	FBgn0000014	Drosophila melanogaster	89E2-89E2	abdominal A	""
CG10326	CG10326	FBgn0038453	Drosophila melanogaster	89D6-89D6	""	""
CG10327	TBPH	FBgn0025790	Drosophila melanogaster	60A4-60A5	TAR DNA-binding protein-43 homolog	""
CG10328	nonA-l	FBgn0015520	Drosophila melanogaster	89D6-89D6	nonA-like	""
CG10332	CG10332	FBgn0260455	Drosophila melanogaster	59F4-59F4	""	""
CG10333	CG10333	FBgn0032690	Drosophila melanogaster	36F7-36F7	""	""
CG10334	spi	FBgn0005672	Drosophila melanogaster	37F2-37F2	spitz	""
CG10335	Pbgs	FBgn0036271	Drosophila melanogaster	69A4-69A4	Porphobilinogen synthase	""
CG10336	CG10336	FBgn0032698	Drosophila melanogaster	37A1-37A1	""	""
CG10337	CG10337	FBgn0032805	Drosophila melanogaster	37F1-37F1	""	""
CG10338	CG10338	FBgn0032700	Drosophila melanogaster	37A1-37A1	""	""
CG10339	CG10339	FBgn0034972	Drosophila melanogaster	60B8-60B8	""	""
CG1034	bcd	FBgn0000166	Drosophila melanogaster	84A5-84A5	bicoid	""
CG10340	CG10340	FBgn0022344	Drosophila melanogaster	89D5-89D5	""	""
CG10341	CG10341	FBgn0032701	Drosophila melanogaster	37A1-37A1	""	""
CG10342	NPF	FBgn0027109	Drosophila melanogaster	89D5-89D5	neuropeptide F	""
CG10343	CG10343	FBgn0032703	Drosophila melanogaster	37A1-37A1	""	""
CG10344	CG10344	FBgn0034729	Drosophila melanogaster	58E1-58E1	""	""
CG10345	CG10345	FBgn0027562	Drosophila melanogaster	89D5-89D5	""	""
CG10346	Grip71	FBgn0032705	Drosophila melanogaster	37A1-37A1	Grip71	""
CG10347	CG10347	FBgn0030342	Drosophila melanogaster	10F1-10F1	""	""
CG10348	CG10348	FBgn0032707	Drosophila melanogaster	37A1-37A1	""	""
CG10352	CG10352	FBgn0030348	Drosophila melanogaster	10F2-10F2	""	""
CG10353	CG10353	FBgn0030349	Drosophila melanogaster	10F2-10F4	""	""
CG10354	Rat1	FBgn0031868	Drosophila melanogaster	27C4-27C4	""	""
CG10357	CG10357	FBgn0035453	Drosophila melanogaster	63E5-63E5	""	""
CG10359	CG10359	FBgn0035452	Drosophila melanogaster	63E5-63E5	""	""
CG10360	ref(2)P	FBgn0003231	Drosophila melanogaster	37F1-37F1	refractory to sigma P	""
CG10361	CG10361	FBgn0036208	Drosophila melanogaster	68E1-68E1	""	""
CG10362	CG10362	FBgn0030358	Drosophila melanogaster	10F7-10F7	""	""
CG10363	Tep4	FBgn0041180	Drosophila melanogaster	37F1-37F1	Thioester-containing protein 4	""
CG10364	msb1l	FBgn0027949	Drosophila melanogaster	37F2-37F2	msb1l	""
CG10365	CG10365	FBgn0039109	Drosophila melanogaster	95B1-95B1	""	""
CG10366	CG10366	FBgn0032814	Drosophila melanogaster	37F2-37F2	""	""
CG10367	Hmgcr	FBgn0263782	Drosophila melanogaster	95B1-95B1	HMG Coenzyme A reductase	""
CG10369	Irk3	FBgn0032706	Drosophila melanogaster	37A1-37A1	Inwardly rectifying potassium channel 3	""
CG10370	Rpt5	FBgn0028684	Drosophila melanogaster	95B1-95B1	Regulatory particle triple-A ATPase 5	""
CG10371	PTPMT1	FBgn0039111	Drosophila melanogaster	95B1-95B1	Protein tyrosine phosphatase, mitochondrial 1	""
CG10372	Faf2	FBgn0025608	Drosophila melanogaster	37A1-37A1	Fas-associated factor	""
CG10373	Jwa	FBgn0032704	Drosophila melanogaster	37A1-37A1	Jwa ortholog	""
CG10374	Lsd-1	FBgn0039114	Drosophila melanogaster	95B1-95B1	Lipid storage droplet-1	""
CG10375	CG10375	FBgn0039116	Drosophila melanogaster	95B1-95B1	""	""
CG10376	CG10376	FBgn0032702	Drosophila melanogaster	37A1-37A1	""	""
CG10377	Hrb27C	FBgn0004838	Drosophila melanogaster	27C4-27C4	Heterogeneous nuclear ribonucleoprotein at 27C	""
CG10379	mbc	FBgn0015513	Drosophila melanogaster	95B5-95B7	myoblast city	""
CG10382	wrapper	FBgn0025878	Drosophila melanogaster	58D4-58D4	wrapper	""
CG10383	CG10383	FBgn0032699	Drosophila melanogaster	37A1-37A1	""	""
CG10384	CG10384	FBgn0034731	Drosophila melanogaster	58E2-58E2	""	""
CG10385	msl-1	FBgn0005617	Drosophila melanogaster	36F11-37A1	male-specific lethal 1	""
CG10387	tos	FBgn0015553	Drosophila melanogaster	36F11-36F11	tosca	""
CG10388	Ubx	FBgn0003944	Drosophila melanogaster	89D6-89D9	Ultrabithorax	""
CG10390	mia	FBgn0014342	Drosophila melanogaster	83B1-83B1	meiosis I arrest	""
CG10391	Cyp310a1	FBgn0032693	Drosophila melanogaster	36F8-36F8	Cyp310a1	""
CG10392	sxc	FBgn0261403	Drosophila melanogaster	41E4-41E5	super sex combs	""
CG10393	amos	FBgn0003270	Drosophila melanogaster	36F6-36F6	absent MD neurons and olfactory sensilla	""
CG10395	CG10395	FBgn0033019	Drosophila melanogaster	41E5-41E5	""	""
CG10396	COX4L	FBgn0033020	Drosophila melanogaster	41E5-41E5	Cytochrome c oxidase subunit 4-like	""
CG10399	CG10399	FBgn0031877	Drosophila melanogaster	27C7-27C7	""	""
CG10405	CG10405	FBgn0038431	Drosophila melanogaster	89B17-89B17	""	""
